time,forest_area_%_of_land_area,urban_population_%_of_total_population,urban_population_growth_annual_%,urban_population,urban_land_area_sq_km,rural_population,rural_population_%_of_total_population,Kenya [KEN] - Rural population growth (annual %) [SP.RUR.TOTL.ZG],population_density_people_per_sq_km_of_land_area,population_growth_annual_%,unemployment_total_%_of_total_labor_force,gdp_growth_annual_%,gdp_current_US$,current_health_expenditure_%_of_gdp,domestic_general_government_health_expenditure_%_of_current_health_expenditure,domestic_general_government_health_expenditure_%_of_gdp,proportion_of_population_pushed_below_the_$2.15_$_2017_PPP_poverty_line_by_out_of_pocket_health_care_expenditure_%
2004,6.71759145377236,21.31,4.70283500500608,7414140,..,27377696,78.69,2.53053929393576,61.130540815968,2.98951543624097,..,5.10429977629738,16095337093.8366,3.11812639,25.48611259,0.79468918,..
2005,6.65700003514074,21.675,4.6748864150129,7768972,..,28074038,78.325,2.51165673710978,62.9774923568893,2.97658073983056,9.96,5.90666607980057,18737895400.78,3.12553811,26.39871979,0.82510209,1.48
2006,6.59640861650912,22.045,4.66734581179976,8140172,..,28785081,77.955,2.50119974126259,64.8790332782795,2.97471111652036,9.96,6.47249430015484,25825512277.8911,3.63250399,23.06648064,0.8378908,..
2007,6.5358171978775,22.42,4.6525850875403,8527849,..,29508944,77.58,2.48361717453101,66.8320501106933,2.96582480091057,..,6.85072976998784,31958195182.2406,3.80025053,24.37117577,0.92616576,..
2008,6.47522577924588,22.8,4.65955620465768,8934612,..,30252283,77.2,2.48782488687014,68.8528218013143,2.97884515479232,..,0.232282744812977,35895153327.8497,4.50025654,25.64528656,1.15410376,..
2009,6.41463436061426,23.183,4.62656353605351,9357689,..,31006755,76.817,2.46334312700607,70.921818884633,2.96069187652137,9.6,3.30693981631089,42347217912.9176,5.26973343,27.70339012,1.4598949,..
2010,6.35404294198264,23.571,4.47731345811679,9786183,..,31731712,76.429,2.31114754134791,72.9484748919422,2.8175240671163,..,8.05847360290906,45405615233.0693,5.38849831,28.96219444,1.56062746,..
2011,6.32103524616087,23.969,4.32985723379387,10219218,..,32415926,76.031,2.13332858533979,74.9115226482061,2.65543505812038,..,5.1211061197056,46869473165.8905,5.20212841,30.8654747,1.60566163,..
2012,6.28802755033911,24.376,4.20972004582599,10658602,..,33067204,75.624,1.98921302503175,76.8278560635345,2.52595644302294,..,4.56867961444982,56396704833.4676,5.0180583,32.40784454,1.62624443,..
2013,6.25501985451734,24.794,4.11020295604234,11105820,..,33686548,75.206,1.85566130389546,78.7018448887796,2.40993136403743,..,3.7978483925754,61671440480.6895,4.93100405,33.68307114,1.66091359,..
2014,6.22201215869558,25.221,4.00170330572801,11559254,..,34272609,74.779,1.72478751856617,80.5282759953614,2.2941780158286,..,5.02011100232484,68285796662.6532,4.91267347,37.40696716,1.83768213,..
2015,6.18900446287381,25.658,3.91816860510534,12021155,3416.83689169865,34830333,74.342,1.61421813404169,82.3197947780862,2.20032211952888,..,4.96772112759767,70120446663.6256,4.76439571,40.38045883,1.92388499,1.28
2016,6.24094247461082,26.105,3.9292922985166,12502904,..,35391766,73.895,1.59905491586389,84.1527040798398,2.20214556198549,2.76,4.21351706814744,74815143796.3978,4.75429106,42.80955124,2.03529072,..
2017,6.29288048634782,26.562,3.91117971395226,13001604,..,35946533,73.438,1.5553445802804,86.0036845064483,2.17570842690355,..,3.83795817364721,82036511258.8324,3.98597503,42.93966675,1.71156442,..
2018,6.34481849808483,27.03,3.77930836146027,13502378,..,36450926,72.97,1.39342227787337,87.769800049197,2.03273400450275,..,5.64794640709219,92202979940.671,4.09903383,43.10948181,1.7670722,..
2019,6.34481849808483,27.507,3.72777071252016,14015215,..,36936235,72.493,1.32261847450592,89.5235794356397,1.97845694844255,5.01,5.11415885767801,100378435824.178,4.36111116,45.97900772,2.00519562,..
2020,6.34481849808483,27.995,3.76824236257626,14553419,..,37432361,72.005,1.33425501311879,91.3409354464631,2.00970011079671,..,-0.272766327438816,100657505600.655,4.29190731,47.39792633,2.03427505,..
2021,6.34481849808483,28.493,3.70601674052537,15102890,..,37902724,71.507,1.24873851843942,93.1328214499069,1.94276128252757,5.69,7.59048947333467,109703659312.872,..,..,..,..
2022,..,29.002,3.68014405349464,15669052,..,38358435,70.998,1.19514686205062,..,1.90951031059953,..,4.8466348557707,113420008178.793,..,..,..,..
